"distance","spectrumID","i"
8.26621240145419e-05,"spec-5413-55976-0814.fits",889
8.75846696663142e-05,"spec-4507-55564-0500.fits",910
8.83276278496411e-05,"spec-4362-55828-0632.fits",854
8.87010792765356e-05,"spec-6506-56564-0782.fits",850
9.0651548621215e-05,"spec-6593-56270-0870.fits",879
9.15003145383603e-05,"spec-5359-55953-0980.fits",886
9.54335776685041e-05,"spec-7278-57041-0597.fits",886
9.84198054619317e-05,"spec-7296-57046-0068.fits",885
0.000100979868176568,"spec-6729-56419-0235.fits",877
0.000107600903217781,"spec-4628-55646-0006.fits",887
0.000109130864068328,"spec-5422-55986-0178.fits",905
0.000111020792204346,"spec-7290-57073-0172.fits",874
0.000113521917144592,"spec-7424-57160-0500.fits",884
0.000120047936833011,"spec-5768-56017-0942.fits",881
0.000127249851453739,"spec-7258-56605-0252.fits",611
0.000128976458436447,"spec-3761-55272-0482.fits",887
0.000134878050584064,"spec-7396-56809-0799.fits",853
0.000140961049446957,"spec-3822-55544-0022.fits",891
0.000141362300899461,"spec-7087-56637-0068.fits",884
0.000146429701511414,"spec-6620-56368-0063.fits",876
0.000147475592584844,"spec-4050-55599-0624.fits",811
0.000147581199105596,"spec-3675-55183-0046.fits",876
0.000149058969044526,"spec-7399-57162-0787.fits",873
0.000156955346444364,"spec-6670-56389-0550.fits",882
0.000170598006732889,"spec-4686-56013-0391.fits",889
0.000185140968462904,"spec-7333-56686-0561.fits",680
0.000185905115178117,"spec-6491-56337-0540.fits",892
0.000187447617972031,"spec-4198-55480-0632.fits",869
0.000190368940122752,"spec-3792-55212-0049.fits",875
0.000194172416796025,"spec-4556-55912-0944.fits",898
0.000208221147234424,"spec-4319-55507-0390.fits",891
0.000217920936449541,"spec-4232-55447-0652.fits",901
0.000223741476465085,"spec-4697-55660-0556.fits",845
0.000233730015447104,"spec-6038-56090-0540.fits",904
